onset	duration	stim_file
26.9	1	sub06_Voice14_Loc5_ramp10.wav
32.5	1	sub06_Animal3_Loc1_ramp10.wav
40.9	1	sub06_Voice1_Loc6_ramp10.wav
46.5	1	sub06_Speech12_Loc2_ramp10.wav
57.7	1	sub06_Tool1_Loc6_ramp10.wav
66.1	1	sub06_Speech5_Loc2_ramp10.wav
77.3	1	sub06_Speech8_Loc6_ramp10.wav
94.1	1	sub06_Speech6_Loc4_ramp10.wav
105.3	1	sub06_Speech3_Loc1_ramp10.wav
113.7	1	sub06_Speech7_Loc5_ramp10.wav
122.1	1	sub06_Tool4_Loc3_ramp10.wav
133.3	1	sub06_Tool10_Loc1_ramp10.wav
144.5	1	sub06_Tool13_Loc4_ramp10.wav
150.1	1	sub06_Tool9_Loc7_ramp10.wav
158.5	1	sub06_Animal4_Loc3_ramp10.wav
164.1	1	sub06_Tool14_Loc5_ramp10.wav
172.5	1	sub06_Animal12_Loc2_ramp10.wav
183.7	1	sub06_Voice9_Loc7_ramp10.wav
189.3	1	sub06_Voice6_Loc4_ramp10.wav
200.5	1	sub06_Speech1_Loc6_ramp10.wav
208.9	1	sub06_Speech11_Loc3_ramp10.wav
217.3	1	sub06_Animal14_Loc5_ramp10.wav
222.9	1	sub06_Tool12_Loc2_ramp10.wav
228.5	1	sub06_Animal2_Loc7_ramp10.wav
242.5	1	sub06_Animal6_Loc4_ramp10.wav
250.9	1	sub06_Voice8_Loc6_ramp10.wav
259.3	1	sub06_Tool6_Loc4_ramp10.wav
270.5	1	sub06_Tool5_Loc2_ramp10.wav
281.7	1	sub06_Tool7_Loc5_ramp10.wav
292.9	1	sub06_Voice11_Loc3_ramp10.wav
298.5	1	sub06_Animal7_Loc5_ramp10.wav
306.9	1	sub06_Tool11_Loc3_ramp10.wav
312.5	1	sub06_Voice7_Loc5_ramp10.wav
318.1	1	sub06_Tool2_Loc7_ramp10.wav
323.7	1	sub06_Voice13_Loc4_ramp10.wav
332.1	1	sub06_Tool8_Loc6_ramp10.wav
337.7	1	sub06_Tool3_Loc1_ramp10.wav
343.3	1	sub06_Animal13_Loc4_ramp10.wav
351.7	1	sub06_Animal9_Loc7_ramp10.wav
357.3	1	sub06_Speech10_Loc1_ramp10.wav
368.5	1	sub06_Animal8_Loc6_ramp10.wav
376.9	1	sub06_Animal11_Loc3_ramp10.wav
390.9	1	sub06_Voice3_Loc1_ramp10.wav
402.1	1	sub06_Voice4_Loc3_ramp10.wav
407.7	1	sub06_Voice2_Loc7_ramp10.wav
418.9	1	sub06_Voice12_Loc2_ramp10.wav
430.1	1	sub06_Speech13_Loc4_ramp10.wav
441.3	1	sub06_Speech9_Loc7_ramp10.wav
452.5	1	sub06_Voice10_Loc1_ramp10.wav
463.7	1	sub06_Speech2_Loc7_ramp10.wav
472.1	1	sub06_Animal5_Loc2_ramp10.wav
480.5	1	sub06_Animal1_Loc6_ramp10.wav
491.7	1	sub06_Voice5_Loc2_ramp10.wav
502.9	1	sub06_Speech14_Loc5_ramp10.wav
508.5	1	sub06_Animal10_Loc1_ramp10.wav
519.7	1	sub06_Speech4_Loc3_ramp10.wav
