onset	duration	stim_file
21.3	1	sub06_Voice1_Loc6_ramp10.wav
32.5	1	sub06_Animal12_Loc2_ramp10.wav
40.9	1	sub06_Speech6_Loc4_ramp10.wav
46.5	1	sub06_Speech5_Loc2_ramp10.wav
57.7	1	sub06_Tool14_Loc5_ramp10.wav
68.9	1	sub06_Animal5_Loc2_ramp10.wav
77.3	1	sub06_Tool1_Loc6_ramp10.wav
85.7	1	sub06_Voice12_Loc2_ramp10.wav
105.3	1	sub06_Tool2_Loc7_ramp10.wav
110.9	1	sub06_Speech13_Loc4_ramp10.wav
119.3	1	sub06_Voice10_Loc1_ramp10.wav
130.5	1	sub06_Animal13_Loc4_ramp10.wav
138.9	1	sub06_Tool10_Loc1_ramp10.wav
150.1	1	sub06_Animal1_Loc6_ramp10.wav
161.3	1	sub06_Voice13_Loc4_ramp10.wav
172.5	1	sub06_Animal2_Loc7_ramp10.wav
183.7	1	sub06_Voice6_Loc4_ramp10.wav
194.9	1	sub06_Voice8_Loc6_ramp10.wav
200.5	1	sub06_Voice11_Loc3_ramp10.wav
214.5	1	sub06_Speech7_Loc5_ramp10.wav
222.9	1	sub06_Tool12_Loc2_ramp10.wav
234.1	1	sub06_Tool8_Loc6_ramp10.wav
245.3	1	sub06_Voice3_Loc1_ramp10.wav
256.5	1	sub06_Voice7_Loc5_ramp10.wav
262.1	1	sub06_Speech2_Loc7_ramp10.wav
267.7	1	sub06_Tool4_Loc3_ramp10.wav
273.3	1	sub06_Speech3_Loc1_ramp10.wav
281.7	1	sub06_Voice14_Loc5_ramp10.wav
287.3	1	sub06_Animal11_Loc3_ramp10.wav
292.9	1	sub06_Animal9_Loc7_ramp10.wav
301.3	1	sub06_Tool3_Loc1_ramp10.wav
309.7	1	sub06_Speech1_Loc6_ramp10.wav
318.1	1	sub06_Tool5_Loc2_ramp10.wav
326.5	1	sub06_Animal7_Loc5_ramp10.wav
334.9	1	sub06_Animal3_Loc1_ramp10.wav
340.5	1	sub06_Speech8_Loc6_ramp10.wav
351.7	1	sub06_Animal6_Loc4_ramp10.wav
374.1	1	sub06_Tool9_Loc7_ramp10.wav
382.5	1	sub06_Voice5_Loc2_ramp10.wav
393.7	1	sub06_Speech14_Loc5_ramp10.wav
399.3	1	sub06_Speech4_Loc3_ramp10.wav
404.9	1	sub06_Animal8_Loc6_ramp10.wav
416.1	1	sub06_Speech11_Loc3_ramp10.wav
424.5	1	sub06_Speech10_Loc1_ramp10.wav
432.9	1	sub06_Tool13_Loc4_ramp10.wav
441.3	1	sub06_Speech12_Loc2_ramp10.wav
449.7	1	sub06_Tool7_Loc5_ramp10.wav
455.3	1	sub06_Tool11_Loc3_ramp10.wav
460.9	1	sub06_Speech9_Loc7_ramp10.wav
466.5	1	sub06_Animal4_Loc3_ramp10.wav
474.9	1	sub06_Animal10_Loc1_ramp10.wav
488.9	1	sub06_Voice9_Loc7_ramp10.wav
500.1	1	sub06_Tool6_Loc4_ramp10.wav
508.5	1	sub06_Voice2_Loc7_ramp10.wav
514.1	1	sub06_Animal14_Loc5_ramp10.wav
522.5	1	sub06_Voice4_Loc3_ramp10.wav
